,codigoEmenda,ano,tipoEmenda,autor,nomeAutor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago,valorRestoInscrito,valorRestoCancelado,valorRestoPago
7,201524570012,2015,Emenda Individual,RAUL HENRY,RAUL HENRY,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,1.0,"0,00","0,00","0,00","0,00","1,00"
38,202337670004,2023,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,6467.0,"6.467,00","6.467,00","0,00","0,00","0,00"
70,201710710010,2017,Emenda Individual,CARLOS EDUARDO CADOCA,CARLOS EDUARDO CADOCA,0010,PERNAMBUCO (UF),Segurança pública,Policiamento,14100.0,"14.100,00","14.100,00","0,00","0,00","0,00"
71,202340690004,2023,Emenda Individual,SILVIO COSTA FILHO,SILVIO COSTA FILHO,0004,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,14255.57,"0,00","0,00","0,00","0,00","0,00"
81,202140440010,2021,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0010,PERNAMBUCO (UF),Educação,Ensino profissional,18283.34,"18.283,34","17.383,34","1.800,00","0,00","900,00"
109,202312180009,2023,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0009,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,26792.67,"11.741,93","11.741,93","0,00","0,00","0,00"
147,202328850011,2023,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0011,PERNAMBUCO (UF),Educação,Ensino profissional,36950.9,"23.000,00","0,00","0,00","0,00","0,00"
159,202328850013,2023,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0013,PERNAMBUCO (UF),Educação,Ensino profissional,38997.44,"9.995,44","9.871,44","0,00","0,00","0,00"
163,202327180015,2023,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0015,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,39915.61,"39.849,52","39.849,52","0,00","0,00","0,00"
164,202130800006,2021,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0006,PERNAMBUCO (UF),Cultura,Difusão cultural,40000.0,"40.000,00","40.000,00","0,00","0,00","0,00"
165,202130800006,2021,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0006,PERNAMBUCO (UF),Cultura,Difusão cultural,40000.0,"40.000,00","40.000,00","0,00","0,00","0,00"
273,202030800004,2020,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0004,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",51700.0,"0,00","0,00","51.700,00","0,00","51.700,00"
403,201637260002,2016,Emenda Individual,MARINALDO ROSENDO,MARINALDO ROSENDO,0002,PERNAMBUCO (UF),Educação,Ensino superior,76934.02,"76.934,02","0,00","0,00","0,00","76.934,02"
501,202038130017,2020,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0017,PERNAMBUCO (UF),Segurança pública,Policiamento,85928.86,"0,00","0,00","85.928,86","0,06","85.928,80"
522,202038130007,2020,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0007,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",88728.8,"0,00","0,00","125.757,60","0,00","51.700,00"
584,202024570014,2020,Emenda Individual,RAUL HENRY,RAUL HENRY,0014,PERNAMBUCO (UF),Educação,Ensino superior,94201.4,"0,00","0,00","94.201,40","3.300,00","90.901,40"
599,201812180019,2018,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0019,PERNAMBUCO (UF),Educação,Assistência hospitalar e ambulatorial,95500.0,"0,00","0,00","0,00","0,00","95.500,00"
633,201838130011,2018,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0011,PERNAMBUCO (UF),Segurança pública,Policiamento,97184.9,"0,00","0,00","0,00","11.994,15","85.190,75"
634,201810740006,2018,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0006,PERNAMBUCO (UF),Segurança pública,Policiamento,97184.9,"0,00","0,00","0,00","11.994,14","85.190,76"
647,201912180011,2019,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0011,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",97491.08,"0,00","0,00","97.911,08","0,00","97.071,08"
663,201712180016,2017,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0016,PERNAMBUCO (UF),Educação,Assistência hospitalar e ambulatorial,98177.77,"0,00","0,00","0,00","0,00","98.177,77"
716,202124570012,2021,Emenda Individual,RAUL HENRY,RAUL HENRY,0012,PERNAMBUCO (UF),Educação,Ensino superior,99175.0,"0,00","0,00","198.350,00","0,00","99.175,00"
724,202039130003,2020,Emenda Individual,ANDRE FERREIRA,ANDRE FERREIRA,0003,PERNAMBUCO (UF),Educação,Assistência hospitalar e ambulatorial,99321.98,"97.502,00","97.502,00","1.819,98","0,00","1.819,98"
749,202224570006,2022,Emenda Individual,RAUL HENRY,RAUL HENRY,0006,PERNAMBUCO (UF),Agricultura,Abastecimento,99511.34,"52.756,92","42.203,10","62.408,24","0,00","52.208,24"
753,201827210023,2018,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0023,PERNAMBUCO (UF),Trabalho,Administração geral,99520.8,"22.249,80","22.249,80","0,00","0,00","77.271,00"
794,202024560006,2020,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,99725.0,"0,00","0,00","99.725,00","0,00","99.725,00"
928,202237670014,2022,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0014,PERNAMBUCO (UF),Educação,Ensino profissional,99934.16,"0,00","0,00","99.934,16","0,00","99.934,16"
943,202237670006,2022,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,99948.0,"99.948,00","99.948,00","0,00","0,00","0,00"
985,202137470007,2021,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0007,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,99976.0,"99.976,00","99.976,00","0,00","0,00","0,00"
999,201827210016,2018,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0016,PERNAMBUCO (UF),Defesa nacional,Atenção básica,99983.0,"72.387,00","3.887,00","0,00","0,00","96.096,00"
1030,202240690007,2022,Emenda Individual,SILVIO COSTA FILHO,SILVIO COSTA FILHO,0007,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,99990.86,"0,00","0,00","111.820,72","0,00","88.161,00"
1040,202237670018,2022,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0018,PERNAMBUCO (UF),Cultura,Difusão cultural,99993.14,"0,00","0,00","99.993,14","0,00","99.993,14"
1090,201812180017,2018,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0017,PERNAMBUCO (UF),Organização agrária,Extensão rural,99999.62,"0,00","0,00","23.874,00","0,00","88.062,62"
1096,201812180017,2018,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0017,PERNAMBUCO (UF),Organização agrária,Extensão rural,99999.62,"0,00","0,00","23.874,00","0,00","88.062,62"
1107,202112180003,2021,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0003,PERNAMBUCO (UF),Educação,Assistência hospitalar e ambulatorial,99999.9,"0,00","0,00","215.997,14","0,00","84.002,56"
1108,202012180002,2020,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0002,PERNAMBUCO (UF),Agricultura,Desenvolvimento tecnológico e engenharia,99999.9,"0,00","0,00","99.999,90","17.863,87","82.136,03"
1109,201937670008,2019,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0008,PERNAMBUCO (UF),Cultura,Difusão cultural,99999.9,"99.999,90","0,00","99.999,90","0,00","99.999,90"
1141,201727230024,2017,Emenda Individual,LUCIANA SANTOS,LUCIANA SANTOS,0024,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",100000.0,"0,00","0,00","0,00","0,00","100.000,00"
1199,201830800003,2018,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0003,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
1348,201810740009,2018,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0009,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
1354,201833870007,2018,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0007,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","4.000,00","96.000,00"
1363,201727190009,2017,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0009,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",100000.0,"0,00","0,00","0,00","100.000,00","0,00"
1422,201810740009,2018,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0009,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
1434,201738130008,2017,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","26.370,16","73.629,84"
1475,201712180020,2017,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0020,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",100000.0,"0,00","0,00","0,00","100.000,00","0,00"
1662,201833870006,2018,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
1674,201532990006,2015,Emenda Individual,MENDONCA FILHO,MENDONCA FILHO,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
1690,201910740008,2019,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0008,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
1776,201738130008,2017,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","26.370,16","73.629,84"
1803,201712180020,2017,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0020,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",100000.0,"0,00","0,00","0,00","100.000,00","0,00"
1833,201830800003,2018,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0003,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
1868,201730320004,2017,Emenda Individual,ADALBERTO CAVALCANTI,ADALBERTO CAVALCANTI,0004,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",10.0,"0,00","0,00","0,00","10,00","0,00"
1878,201827210020,2018,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0020,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","45.333,33","54.666,67"
1881,201727190009,2017,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0009,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",100000.0,"0,00","0,00","0,00","100.000,00","0,00"
1938,201830800003,2018,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0003,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
2031,201910740008,2019,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0008,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
2037,201910740007,2019,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0007,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
2045,201738130008,2017,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,100000.0,"0,00","0,00","0,00","26.370,16","73.629,84"
2059,202027190007,2020,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0007,PERNAMBUCO (UF),Assistência social,Assistência comunitária,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
2239,202038130014,2020,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0014,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
2253,202010740010,2020,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0010,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",100000.0,"100.000,00","100.000,00","0,00","0,00","0,00"
2297,202030800005,2020,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0005,PERNAMBUCO (UF),Ciência e Tecnologia,Desenvolvimento científico,100000.0,"0,00","0,00","100.040,00","0,00","99.960,00"
2304,202038130014,2020,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0014,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","100.000,00","0,00","100.000,00"
2354,201830800003,2018,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0003,PERNAMBUCO (UF),Cultura,Difusão cultural,10.0,"0,00","0,00","0,00","0,00","10,00"
2365,201727190009,2017,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0009,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",10.0,"0,00","0,00","0,00","10,00","0,00"
2380,201810740009,2018,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0009,PERNAMBUCO (UF),Cultura,Difusão cultural,100000.0,"0,00","0,00","0,00","0,00","100.000,00"
2406,201727190009,2017,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0009,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",10.0,"0,00","0,00","0,00","10,00","0,00"
2570,201712180020,2017,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0020,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",10.0,"0,00","0,00","0,00","10,00","0,00"
2618,201810740014,2018,Emenda Individual,ANDRE DE PAULA,ANDRE DE PAULA,0014,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",100000.0,"0,00","0,00","184,03","0,00","99.815,97"
2625,202127180009,2021,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0009,PERNAMBUCO (UF),Assistência social,Assistência comunitária,10.0,"0,00","0,00","20,00","0,00","10,00"
2627,202139310005,2021,Emenda Individual,CARLOS VERAS,CARLOS VERAS,0005,PERNAMBUCO (UF),Educação,Ensino superior,10.0,"0,00","0,00","30,00","0,00","0,00"
