"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2023";"Emenda Individual";"ZE VITOR";"0007";"MINAS GERAIS (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"- 2.443.813,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"MARIA ROSAS";"0009";"SÃO PAULO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"- 620.791,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LUIZ LIMA";"0009";"RIO DE JANEIRO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"- 300.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"TADEU ALENCAR";"0004";"PERNAMBUCO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"6.467,00";"6.467,00";"6.467,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JUNIOR MANO";"0006";"CEARÁ (UF)";"Saúde";"Atenção básica";"24.570,00";"24.570,00";"24.570,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"HUMBERTO COSTA";"0011";"PERNAMBUCO (UF)";"Educação";"Ensino profissional";"37.672,90";"23.000,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"HUMBERTO COSTA";"0013";"PERNAMBUCO (UF)";"Educação";"Ensino profissional";"38.997,44";"9.995,44";"9.871,44";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"PATRUS ANANIAS";"0005";"MINAS GERAIS (UF)";"Comunicações";"Tecnologia da informação";"48.876,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"FREI ANASTACIO RIBEIRO";"0006";"Nacional";"Defesa nacional";"Administração geral";"49.944,39";"49.944,39";"49.944,39";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JORGE KAJURU";"0006";"GOIÁS (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"50.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"PROFESSORA ROSA NEIDE";"0007";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"50.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ANGELA AMIN";"0013";"SANTA CATARINA (UF)";"Cultura";"Patrimônio histórico, artístico e arqueológico";"69.605,95";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"JULIO CESAR";"0005";"Nacional";"Defesa nacional";"Empregabilidade";"81.458,20";"88.858,20";"71.958,20";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"ROSANGELA GOMES";"0002";"Nacional";"Defesa nacional";"Administração geral";"81.460,00";"17.002,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"RICARDO IZAR";"0007";"PRESIDENTE VENCESLAU - SP";"Assistência social";"Assistência comunitária";"81.460,00";"81.460,00";"81.460,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"KIM KATAGUIRI";"0005";"SÃO PAULO (UF)";"Agricultura";"Difusão do conhecimento científico e tecnológico";"81.460,00";"70.739,93";"96.844,34";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"FLAVIA ARRUDA";"0012";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"81.460,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"RAFAEL MOTTA";"0007";"RIO GRANDE DO NORTE (UF)";"Comércio e serviços";"Promoção comercial";"83.003,00";"83.003,00";"83.003,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"NICOLETTI";"0005";"RORAIMA (UF)";"Saúde";"Vigilância epidemiológica";"83.641,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"EUCLYDES PETTERSEN";"0001";"MINAS GERAIS (UF)";"Saúde";"Atenção básica";"83.953,00";"83.953,00";"83.953,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"WELLINGTON ROBERTO";"0007";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"84.551,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"IVETE DA SILVEIRA";"0007";"FLORIANÓPOLIS - SC";"Defesa nacional";"Atenção básica";"97.693,87";"88.313,79";"86.793,87";"0,00";"0,00";"0,00";
"2023";"Emenda Individual";"LAFAYETTE DE ANDRADA";"0014";"Nacional";"Relações exteriores";"Administração geral";"99.580,00";"0,00";"0,00";"0,00";"0,00";"0,00";
